epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.174,1.46292,1.70285,1.45859,0.67836,0.74468,0.72702,0.47914,1.80134,1.67262,1.60865,0.000475556,0.000475556,0.000475556
2,371.556,1.44963,1.468,1.51491,0.92248,0.51813,0.57892,0.41523,2.06317,2.49709,2.14328,0.000951476,0.000951476,0.000951476
3,551.305,1.40487,1.39344,1.5011,0.6496,0.6665,0.69479,0.4959,1.67331,2.0024,1.60281,0.00142574,0.00142574,0.00142574
4,729.945,1.35457,1.28383,1.47359,0.75126,0.64939,0.68545,0.48161,1.74303,1.91204,1.64548,0.00142342,0.00142342,0.00142342
5,908.635,1.29226,1.21554,1.43761,0.922,0.57333,0.67817,0.50545,1.80249,1.95762,1.74715,0.00141909,0.00141909,0.00141909
6,1087.72,1.22641,1.10507,1.39855,0.56963,0.50014,0.50884,0.39594,2.86534,2.71664,2.84334,0.00141354,0.00141354,0.00141354
7,1266.6,1.21012,1.08721,1.38637,0.73388,0.81486,0.78535,0.58338,1.36252,1.28619,1.42144,0.00140678,0.00140678,0.00140678
8,1446.25,1.1777,1.04291,1.3643,0.94009,0.61523,0.69519,0.53487,1.85864,2.38392,1.92475,0.00139881,0.00139881,0.00139881
9,1625.06,1.14147,1.02065,1.35375,0.77931,0.82606,0.83725,0.62857,1.3375,1.21478,1.40466,0.00138965,0.00138965,0.00138965
10,1804.13,1.11647,0.96741,1.32916,0.94856,0.61163,0.72614,0.5595,1.64964,1.961,1.65974,0.00137933,0.00137933,0.00137933
11,1983.55,1.09013,0.93381,1.31318,0.70872,0.7612,0.78613,0.5957,1.44857,1.49851,1.486,0.00136785,0.00136785,0.00136785
12,2162.08,1.06497,0.91334,1.29786,0.78863,0.77654,0.78804,0.59608,1.52547,1.28571,1.51173,0.00135523,0.00135523,0.00135523
13,2340.74,1.07144,0.88842,1.29501,0.96255,0.59702,0.64742,0.51606,2.00915,2.8436,2.02786,0.0013415,0.0013415,0.0013415
14,2520.03,1.06029,0.89114,1.29098,0.84899,0.82154,0.8394,0.63161,1.59938,1.27587,1.52281,0.00132669,0.00132669,0.00132669
15,2699.13,1.04277,0.87609,1.27931,0.83126,0.81475,0.84908,0.66973,1.22201,1.19798,1.33997,0.00131082,0.00131082,0.00131082
16,2877.74,1.03159,0.85219,1.26632,0.84249,0.86443,0.86612,0.69142,1.10595,0.99228,1.23437,0.00129391,0.00129391,0.00129391
17,3056.88,1.01552,0.8304,1.26197,0.75782,0.82784,0.82893,0.63856,1.27372,1.14293,1.39784,0.00127599,0.00127599,0.00127599
18,3235.23,0.99499,0.82385,1.25107,0.84928,0.79101,0.8256,0.60588,1.52619,1.25729,1.4804,0.00125711,0.00125711,0.00125711
19,3413.78,0.98797,0.81089,1.25268,0.84534,0.82766,0.83913,0.67323,1.14611,1.01948,1.2867,0.00123728,0.00123728,0.00123728
20,3592.54,0.98069,0.80107,1.24152,0.81438,0.84008,0.84874,0.65176,1.16963,1.03542,1.34263,0.00121656,0.00121656,0.00121656
21,3771.33,0.96781,0.79118,1.22863,0.86786,0.83694,0.87107,0.68518,1.13122,1.00378,1.26819,0.00119496,0.00119496,0.00119496
22,3950.28,0.96133,0.77804,1.22544,0.83146,0.82527,0.83736,0.6522,1.37366,1.15228,1.37304,0.00117253,0.00117253,0.00117253
23,4128.98,0.95682,0.76659,1.22606,0.83858,0.81041,0.83664,0.63858,1.33845,1.09213,1.35519,0.00114931,0.00114931,0.00114931
24,4307.47,0.93583,0.75478,1.20756,0.82899,0.81628,0.86338,0.70635,1.15908,1.08695,1.29146,0.00112534,0.00112534,0.00112534
25,4486.85,0.92921,0.73651,1.20249,0.87177,0.82299,0.86729,0.70967,1.04576,0.98493,1.19717,0.00110066,0.00110066,0.00110066
